,販売単価の実測値,armaの予測値,arimaの予測値,sarimaの予測値,arma_絶対値誤差,arima_絶対値誤差,sarima_絶対値誤差,年月,データ区分
2017-07-01,364.22698199999996,374.6628807523812,374.4556386512186,385.41196455107786,10.435898752381263,10.228656651218614,21.184982551077894,2017-07-01,train
2017-08-01,376.871443,363.85040411745047,365.06298429186467,367.12523924766947,13.021038882549533,11.808458708135333,9.74620375233053,2017-08-01,train
2017-09-01,365.806463,380.88323634041086,379.92239579853197,387.61477924945274,15.076773340410853,14.115932798531958,21.80831624945273,2017-09-01,train
2017-10-01,368.720117,364.3754425074751,365.5263406114274,363.92679358851717,4.344674492524916,3.193776388572644,4.793323411482845,2017-10-01,train
2017-11-01,386.952083,371.26724880307444,369.1056620558419,366.0932257582025,15.684834196925578,17.846420944158126,20.858857241797523,2017-11-01,train
2017-12-01,400.16019700000004,391.067774769352,390.8339122456999,393.09283360886354,9.092422230648026,9.326284754300161,7.067363391136496,2017-12-01,train
2018-01-01,396.442207,402.2777454088838,405.2766658757797,403.5214886841872,5.835538408883792,8.834458875779717,7.079281684187208,2018-01-01,train
2018-02-01,405.629125,395.5694779359516,398.958433180132,405.2481664083577,10.059647064048363,6.670691819868011,0.3809585916422975,2018-02-01,train
2018-03-01,425.33655,395.97182753922965,407.72766912140605,394.8508789436044,29.364722460770338,17.608880878593936,30.485671056395574,2018-03-01,train
2018-04-01,461.54820700000005,396.35581834240804,427.08363642512694,380.7538995493948,65.192388657592,34.46457057487311,80.79430745060523,2018-04-01,train
2018-05-01,485.379724,396.72228803872264,462.99956008036565,383.5851005019596,88.65743596127737,22.380163919634356,101.79462349804044,2018-05-01,train
2018-06-01,506.24921100000006,397.07203609832527,486.5822328748477,372.2429644149753,109.17717490167479,19.666978125152355,134.00624658502477,2018-06-01,train
2018-07-01,500.631241,397.405825512364,507.24233043765116,367.3771383415426,103.22541548763598,6.611089437651174,133.25410265845738,2018-07-01,train
2018-08-01,493.63908499999997,397.7243844574827,501.4481701328849,370.4197979899817,95.91470054251727,7.809085132884945,123.21928701001826,2018-08-01,test
2018-09-01,507.53606399999995,398.0284078843712,494.3077591687892,369.2909034972179,109.50765611562878,13.228304831210778,138.24516050278203,2018-09-01,test
2018-10-01,510.555919,398.3185590338313,508.07998933877724,371.3822084914709,112.2373599661687,2.4759296612227786,139.1737105085291,2018-10-01,test
2018-11-01,513.952523,398.5954708836669,510.99487469621414,382.3162841368246,115.35705211633314,2.957648303785902,131.63623886317544,2018-11-01,test
2018-12-01,495.02475300000003,398.85974752955315,514.3031522096348,389.990644773675,96.16500547044689,19.278399209634813,105.03410822632503,2018-12-01,test
2019-01-01,506.17045700000006,399.1119655028986,495.3010600719105,387.81763389845185,107.05849149710144,10.869396928089543,118.35282310154821,2019-01-01,test
2019-02-01,480.243983,399.35267502857454,506.38422586429203,396.90329842979145,80.89130797142548,26.14024286429202,83.34068457020857,2019-02-01,test
2019-03-01,473.07783200000006,399.5824012252551,480.40512922005854,412.20636175353457,73.49543077474493,7.327297220058483,60.87147024646549,2019-03-01,test
2019-04-01,474.16805199999993,399.80164525098746,473.19469900593384,429.14144845152595,74.36640674901247,0.9733529940660901,45.026603548473986,2019-04-01,test
2019-05-01,480.99748099999994,400.0108853964906,474.24766035365445,436.5053325927131,80.98659560350933,6.7498206463454835,44.492148407286834,2019-05-01,test
2019-06-01,453.157959,400.21057812856816,481.04573813848265,454.7869318012643,52.94738087143185,27.887779138482642,1.6289728012642968,2019-06-01,test
2019-07-01,447.463774,400.4011590859113,453.17983572393143,454.75396588720497,47.062614914088726,5.716061723931432,7.290191887204969,2019-07-01,test
2019-08-01,408.376553,400.583044029464,447.4634529791842,474.14244554751053,7.7935089705359815,39.08689997918418,65.76589254751053,2019-08-01,test
2019-09-01,418.44073,400.75662974942463,408.35755373321103,469.8214774661119,17.68410025057534,10.08317626678894,51.38074746611193,2019-09-01,test
2019-10-01,392.312642,400.92229493086114,418.40601396213333,479.4791390252116,8.60965293086116,26.093371962133347,87.16649702521164,2019-10-01,test
2019-11-01,396.36233599999997,401.0804009798301,392.2647011179235,504.4551097652532,4.718064979830103,4.097634882076477,108.09277376525324,2019-11-01,test
2019-12-01,384.122708,401.23129281179985,396.3032671003739,524.4072266823599,17.108584811799858,12.180559100373898,140.28451868235993,2019-12-01,test
2020-01-01,382.301125,401.3752996040996,384.0542754532398,527.4332384206714,19.074174604099596,1.7531504532398117,145.13211342067137,2020-01-01,test
2020-02-01,394.28317599999997,401.51273551403415,382.22481343190833,542.9831988050763,7.229559514034179,12.058362568091638,148.70002280507634,2020-02-01,test
2020-03-01,384.10837599999996,401.6439003642325,394.20023464585864,539.3299118234546,17.535524364232515,10.091858645858679,155.22153582345464,2020-03-01,test
2020-04-01,393.407281,401.76908029672427,384.0198560262288,531.9769325936342,8.361799296724257,9.387424973771203,138.56965159363415,2020-04-01,test
2020-05-01,393.271948,401.8885483971715,393.31406690838844,541.5521335044743,8.61660039717151,0.042118908388431464,148.28018550447433,2020-05-01,test
2020-06-01,394.067255,402.0025652906174,393.1747840527319,536.9539972424826,7.9353102906173945,0.8924709472680661,142.88674224248263,2020-06-01,test
2020-07-01,390.614172,402.1113797100513,393.96676745493625,538.8321709078556,11.497207710051327,3.3525954549362496,148.2179989078556,2020-07-01,test
2020-08-01,375.28088199999996,402.21522903903144,390.5108878205101,548.6188302393678,26.93434703903148,15.230005820510144,173.3379482393678,2020-08-01,test
2020-09-01,,402.31433982954724,375.175244598311,554.2339353936378,,,,2020-09-01,test
2020-10-01,,402.4089282962532,375.06762708271566,563.0692400116201,,,,2020-10-01,test
2020-11-01,,402.4992007881506,374.9583434044079,580.7473152656331,,,,2020-11-01,test
2020-12-01,,402.5853542387472,374.8476577369644,595.1656755013979,,,,2020-12-01,test
2021-01-01,,402.66757659567673,374.73579236868966,599.7366642187876,,,,2021-01-01,test
2021-02-01,,402.74604723071496,374.6229343436135,615.5663283386652,,,,2021-02-01,test
2021-03-01,,402.82093733108724,374.50924104954424,637.6133912483115,,,,2021-03-01,test
2021-04-01,,402.8924102729213,374.39484492012457,661.2924775305021,,,,2021-04-01,test
2021-05-01,,402.9606219776597,374.2798573913667,675.4003612547865,,,,2021-05-01,test
2021-06-01,,403.0257212522091,374.1643722308704,700.4259600457226,,,,2021-06-01,test
2021-07-01,,403.08785011356974,374.0484683391868,707.1369937135875,,,,2021-07-01,test
2021-08-01,,403.14714409865155,373.93221210701984,733.2694729555192,,,,2021-08-01,test
